S_GES,U_GES,T
58,26,16
65,21,14
66,14,20
96,3.1,0.99
97,2.7,0.54
97,1.8,0.9
98,1.6,0.79
95,4.1,0.96
92,6.6,1.4
93,5.4,1.6
91,7.8,1.3
87,7.5,5.5
83,12,5.3
74,17,8.8
57,35,8
85,8.3,6.6
93,2.1,5
90,3.2,6.6
95,0.47,4.2
97,0.72,2
96,1.4,3.1
18.5,61.7,19.8
14.6,44.2,41.3
24.5,42.9,32.6
76,18.5,5.5
97.9,1.8,0.3
95.69999999999999,1.8,2.5
93.1,3.2,3.7
93.9,1.9,4.2
14.6,74.9,10.5
20.6,72.6,6.8
91.1,7,1.9
95.4,4.3,0.3
82.2,9.6,8.3
84.3,8.9,6.9
84.6,8.1,7.3
86.1,7.4,6.6
5.6,80.1,14.3
74.4,22.4,3.2
80.7,16.1,3.3
77.7,17.9,4.4
96.4,0.9,2.7
85.2,6.6,8.2
91.7,0.8,7.5
82.8,16,1.2
81.4,16.4,1.7
93.9,5.6,0.5
74,12,14
84,8.6,7
90,6.4,3.4
99,1.1,0.17
71.1,20.9,8
75.5,19.1,5.4
82,14.5,3.5
94.2,0.7,5.1
95,4,1.5
96,3.1,1.1
96,3.3,1.2
97,2.2,0.91
98,1.2,0.62
98,0.85,0.67
94,3.4,2.3
98,1.4,0.9
98,0.81,0.94
98,1.2,1
98,1.1,0.94
97,2.2,1.1
98,0.9,1
98,0.91,0.81
99,0.35,0.51
98,0.89,0.82
18.8,69.7,11.5
13.2,72.2,14.6
9.1,71.9,19
8.2,62.3,29.5
14.5,59.1,26.4
16.9,64.9,18.2
10.4,74.6,15
51,27,23
72.1,23.6,4.3
78.3,15.9,5.8
78.10000000000001,14.700000000000001,7.2
82.69999999999999,10.9,6.4
85,10.4,4.7
82,13.1,5
85.1,7.9,7.1
66.9,25.3,7.8
63.8,28,8.2
61.8,29.1,9.1
56.7,31.9,11.4
53.6,27.1,19.3
50.2,28.3,22.5
81.7,10.9,7.4
83,13,4
83,11,5.5
84,11,5.5
78,15,7.3
70,19,11
56.2,35.9,7.9
55.2,30.9,13.9
62,27.5,10.5
86.3,10.9,2.8
85.9,9.4,4.7
92.3,5.4,2.3
71,3,26
77.8,17.4,4.8
31,60,9.6
70,17,12
27,62,11
10.3,81,8.7
11,77.8,11.2
4.5,83.8,11.7
12.1,72.5,15.4
9.3,75.3,15.4
11.9,72.8,15.3
9.3,64.8,25.9
8.1,65.3,26.6
12.7,74.7,12.6
22,57,21
33,54,14
32,52,16
67,25,8.1
67,24,8.7
85,11,3.9
12,64,24
24,62,14
22,68,11
20,65,15
51.9,38.5,9.6
47,44.2,8.8
39.2,48.6,12.2
58,34,8.2
35.8,50.5,13.7
42.5,44.5,13
57.6,28,14.4
60.3,28,11.7
55,37,7.6
54,37,9.2
47,41,12
59,34,6.9
4.7,81,14
4.8,82,13
2.7,70,27
4.1,81,15
3.2,68,28
44,44,12
43,44,13
58,29,13
56,25,19
56,30,14
88,8.6,3.8
79,16,5
81,16,3.4
62,27,11
61,29,11
80,3.8,16
73.8,20.7,5
74.7,22,3.3
75.5,22,2.5
60.4,25.7,13.9
